criteria_timestamp,supertrend_signal_time,macd_signal_time,pattern_vwap_signal_time,criteria_type,criteria_breakout_price,symbol,expiry_date,strike_price,option_type,entry_signal,ENTRY_TIME,entry_price,stoploss,EXIT_TIME,exit_price,PNL,reason_for_exit
2024-06-24 10:35:00,2024-06-24 10:05:00,2024-06-24 10:05:00,2024-06-24 10:35:00,LONG,23458.2,NIFTY,2024-06-27,23450.0,CALL,BUY,2024-06-24 10:35:00,125.25,23389.48568434396,2024-06-24 14:45:00,154.25,29.0,Stoploss
2024-06-24 10:45:00,2024-06-24 10:05:00,2024-06-24 10:05:00,2024-06-24 10:45:00,LONG,23477.85,NIFTY,2024-06-27,23500.0,CALL,BUY,2024-06-24 10:45:00,112.85,23417.882416739405,2024-06-24 14:45:00,125.05,12.200000000000003,Stoploss
2024-06-24 15:10:00,2024-06-24 15:10:00,2024-06-24 15:05:00,2024-06-24 15:10:00,LONG,23546.8,NIFTY,2024-06-27,23550.0,CALL,BUY,2024-06-24 15:10:00,112.3,23501.5587511497,2024-06-24 15:15:00,113.15,0.8500000000000085,Exittime
2024-06-24 15:10:00,2024-06-24 15:10:00,2024-06-24 15:05:00,2024-06-24 15:10:00,LONG,23546.8,NIFTY,2024-06-27,23550.0,CALL,BUY,2024-06-24 15:10:00,112.3,23501.5587511497,2024-06-24 15:15:00,113.15,0.8500000000000085,Exittime
2024-06-25 12:25:00,2024-06-25 12:25:00,2024-06-25 12:25:00,2024-06-25 12:25:00,LONG,23622.35,NIFTY,2024-06-27,23600.0,CALL,BUY,2024-06-25 12:25:00,105.9,23575.716135865106,2024-06-25 13:55:00,167.0,61.099999999999994,MACD Crossover
2024-06-25 13:00:00,2024-06-25 12:25:00,2024-06-25 12:25:00,2024-06-25 13:00:00,LONG,23654.9,NIFTY,2024-06-27,23650.0,CALL,BUY,2024-06-25 13:00:00,125.25,23623.212364960767,2024-06-25 13:55:00,134.8,9.550000000000011,MACD Crossover
2024-06-25 13:30:00,2024-06-25 13:30:00,2024-06-25 13:30:00,2024-06-25 13:30:00,LONG,23673.45,NIFTY,2024-06-27,23650.0,CALL,BUY,2024-06-25 13:30:00,128.3,23646.67340987909,2024-06-25 13:55:00,134.8,6.5,MACD Crossover
2024-06-25 12:25:00,2024-06-25 12:25:00,2024-06-25 12:25:00,2024-06-25 12:25:00,LONG,23622.35,NIFTY,2024-06-27,23600.0,CALL,BUY,2024-06-25 12:25:00,105.9,23575.716135865106,2024-06-25 15:15:00,190.3,84.4,Exittime
2024-06-25 13:00:00,2024-06-25 12:25:00,2024-06-25 12:25:00,2024-06-25 13:00:00,LONG,23654.9,NIFTY,2024-06-27,23650.0,CALL,BUY,2024-06-25 13:00:00,125.25,23623.212364960767,2024-06-25 15:15:00,154.45,29.19999999999999,Exittime
2024-06-25 13:30:00,2024-06-25 13:30:00,2024-06-25 13:30:00,2024-06-25 13:30:00,LONG,23673.45,NIFTY,2024-06-27,23650.0,CALL,BUY,2024-06-25 13:30:00,128.3,23646.67340987909,2024-06-25 15:15:00,154.45,26.149999999999977,Exittime
2024-06-26 09:25:00,2024-06-26 09:25:00,2024-06-26 09:20:00,2024-06-26 09:25:00,SHORT,23695.9,NIFTY,2024-06-27,23700.0,PUT,BUY,2024-06-26 09:25:00,93.6,23752.423464733787,2024-06-26 10:25:00,80.8,-12.799999999999997,MACD Crossover
2024-06-26 09:35:00,2024-06-26 09:25:00,2024-06-26 09:20:00,2024-06-26 09:35:00,SHORT,23708.25,NIFTY,2024-06-27,23700.0,PUT,BUY,2024-06-26 09:35:00,92.85,23744.5110414971,2024-06-26 10:25:00,80.8,-12.049999999999997,MACD Crossover
2024-06-26 09:45:00,2024-06-26 09:25:00,2024-06-26 09:20:00,2024-06-26 09:45:00,SHORT,23698.35,NIFTY,2024-06-27,23700.0,PUT,BUY,2024-06-26 09:45:00,100.6,23737.386910453573,2024-06-26 10:25:00,80.8,-19.799999999999997,MACD Crossover
2024-06-26 09:25:00,2024-06-26 09:25:00,2024-06-26 09:20:00,2024-06-26 09:25:00,SHORT,23695.9,NIFTY,2024-06-27,23700.0,PUT,BUY,2024-06-26 09:25:00,93.6,23752.423464733787,2024-06-26 10:50:00,70.8,-22.799999999999997,Stoploss
2024-06-26 09:35:00,2024-06-26 09:25:00,2024-06-26 09:20:00,2024-06-26 09:35:00,SHORT,23708.25,NIFTY,2024-06-27,23700.0,PUT,BUY,2024-06-26 09:35:00,92.85,23744.5110414971,2024-06-26 10:50:00,70.8,-22.049999999999997,Stoploss
2024-06-26 09:45:00,2024-06-26 09:25:00,2024-06-26 09:20:00,2024-06-26 09:45:00,SHORT,23698.35,NIFTY,2024-06-27,23700.0,PUT,BUY,2024-06-26 09:45:00,100.6,23737.386910453573,2024-06-26 10:50:00,70.8,-29.799999999999997,Stoploss
